Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.01    0.00  848146/848146      assess_swap [48]
                0.00    0.00       4/383841      my_malloc [76]
-----------------------------------------------
                1.10    0.85  848146/848146      try_swap [4]
[5]     33.2    1.10    0.85  848146         comp_delta_td_cost [5]
                0.85    0.00 25424969/25584958     comp_td_point_to_point_delay [12]
-----------------------------------------------
                0.00    0.96       1/1           try_place [3]
[6]     16.3    0.00    0.96       1         alloc_lookups_and_criticalities [6]
                0.00    0.96       1/1           compute_delay_lookup_tables [7]
                0.00    0.00       1/1           alloc_and_load_timing_graph [256]
                0.00    0.00       1/1           alloc_net_delay [265]
                0.00    0.00       1/1           alloc_crit [262]
-----------------------------------------------
                0.00    0.96       1/1           alloc_lookups_and_criticalities [6]
[7]     16.3    0.00    0.96       1         compute_delay_lookup_tables [7]
                0.00    0.90       1/1           alloc_routing_structs [8]
                0.00    0.06       1/1           compute_delta_arrays [27]
                0.00    0.00       1/1           load_simplified_device [313]
                0.00    0.00       1/1           alloc_and_assign_internal_structures [247]
                0.00    0.00       1/1           setup_chan_width [321]
                0.00    0.00       1/1           get_longest_segment_length [307]
                0.00    0.00       1/1           alloc_delta_arrays [263]
                0.00    0.00       1/1           free_routing_structs [296]
                0.00    0.00       1/1           restore_original_device [319]
                0.00    0.00       1/1           free_and_reset_internal_structures [285]
-----------------------------------------------
                0.00    0.90       1/1           compute_delay_lookup_tables [7]
[8]     15.3    0.00    0.90       1         alloc_routing_structs [8]
                0.00    0.90       1/1           build_rr_graph [9]
                0.00    0.00       1/478         assign_locations [118]
                0.00    0.00       1/1           alloc_route_structs [268]
                0.00    0.00       1/2           free_rr_graph [212]
                0.00    0.00       1/1           alloc_and_load_rr_node_route_structs [254]
                0.00    0.00       1/1           alloc_timing_driven_route_structs [271]
                0.00    0.00       1/1           init_route_structs [311]
-----------------------------------------------
                0.00    0.90       1/1           alloc_routing_structs [8]
[9]     15.3    0.00    0.90       1         build_rr_graph [9]
                0.00    0.87       1/1           alloc_and_load_rr_graph [10]
                0.00    0.02       1/1           rr_graph_externals [36]
                0.00    0.01     121/121         load_sblock_pattern_lookup [53]
                0.00    0.00       1/1           alloc_and_load_rr_node_indices [63]
                0.00    0.00       4/383841      my_malloc [76]
                0.00    0.00       3/3           alloc_and_load_pin_to_track_map [192]
                0.00    0.00       3/3           alloc_and_load_track_to_pin_lookup [193]
                0.00    0.00       2/2           alloc_and_load_actual_fc [207]
                0.00    0.00       2/437         alloc_matrix [134]
                0.00    0.00       2/430         free_matrix [136]
                0.00    0.00       1/1           alloc_and_load_seg_details [255]
                0.00    0.00       1/1           alloc_and_load_perturb_ipins [251]
